V_bus_V,I_bus_A,I_bone_A,V_bone_P_V,V_3v3_V,V_bone_N_V,I_bus_model_A,err_pct
4.640,1.597595573e-04,-9.978163343e-05,4.639083,3.300000,3.641266,1.597595480e-04,-0.00001
4.660,1.597895546e-04,-9.978163327e-05,4.659083,3.300000,3.661266,1.597895542e-04,-0.00000
4.680,1.598195667e-04,-9.978163310e-05,4.679082,3.300000,3.681266,1.598195605e-04,-0.00000
4.700,1.598495727e-04,-9.978163196e-05,4.699082,3.300000,3.701266,1.598495667e-04,-0.00000
4.720,1.598795960e-04,-9.978163376e-05,4.719082,3.300000,3.721266,1.598795729e-04,-0.00001
4.740,1.599095642e-04,-9.978163261e-05,4.739082,3.300000,3.741266,1.599095792e-04,0.00001
4.760,1.599395813e-04,-9.978163343e-05,4.759082,3.300000,3.761265,1.599395854e-04,0.00000
4.780,1.599695694e-04,-9.978163425e-05,4.779082,3.300000,3.781265,1.599695917e-04,0.00001
4.800,1.599996032e-04,-9.978163310e-05,4.799081,3.300000,3.801265,1.599995979e-04,-0.00000
4.820,1.600296054e-04,-9.978163294e-05,4.819081,3.300000,3.821265,1.600296042e-04,-0.00000
4.840,1.600596164e-04,-9.978163474e-05,4.839081,3.300000,3.841265,1.600596104e-04,-0.00000
4.860,1.600896137e-04,-9.978163261e-05,4.859081,3.300000,3.861265,1.600896166e-04,0.00000
4.880,1.601196153e-04,-9.978163441e-05,4.879081,3.300000,3.881264,1.601196229e-04,0.00000
4.900,1.601496300e-04,-9.978163425e-05,4.899081,3.300000,3.901264,1.601496291e-04,-0.00000
4.920,1.601796341e-04,-9.978163212e-05,4.919080,3.300000,3.921264,1.601796354e-04,0.00000
4.940,1.602096400e-04,-9.978163490e-05,4.939080,3.300000,3.941264,1.602096416e-04,0.00000
4.960,1.602396275e-04,-9.978163376e-05,4.959080,3.300000,3.961264,1.602396478e-04,0.00001
4.980,1.602696551e-04,-9.978163163e-05,4.979080,3.300000,3.981264,1.602696541e-04,-0.00000
